candidate_id,rank,score,reasoning
CAND_0018499,1,0.851792,"Senior Machine Learning Engineer with 7.2 yrs experience at Zomato; relevant skills: Weaviate, Recommendation Systems, Pinecone; Noida, Uttar Pradesh. Platform signals are strong: active 27d ago; immediate availability."
CAND_0086022,2,0.825061,"Senior Applied Scientist with 5.3 yrs experience at Sarvam AI; relevant skills: Vector Search, Recommendation Systems, Fine-tuning LLMs; Kolkata, West Bengal. Platform signals are strong: immediate availability; GitHub score 75."
CAND_0011687,3,0.794185,"Senior Nlp Engineer with 7.8 yrs experience at Niramai; relevant skills: OpenSearch, FAISS, PEFT; Indore, Madhya Pradesh. Platform signals are strong: active 30d ago; high response rate (89%)."
CAND_0064326,4,0.755440,"Search Engineer with 7.6 yrs experience at Sarvam AI; relevant skills: Milvus, Semantic Search, Weaviate; Gurgaon, Haryana. Platform signals are strong: active 19d ago; high response rate (94%)."
CAND_0046525,5,0.751730,"Senior Machine Learning Engineer with 6.1 yrs experience at Genpact AI; relevant skills: Elasticsearch, Information Retrieval, Sentence Transformers; Pune, Maharashtra. Platform signals are strong: active 17d ago; high response rate (88%)."
CAND_0046064,6,0.746682,"Senior Nlp Engineer with 8.9 yrs experience at Salesforce; relevant skills: Pinecone, BM25, OpenSearch; Coimbatore, Tamil Nadu. Platform signals are strong: high response rate (78%); GitHub score 67."
CAND_0041610,7,0.734464,"Recommendation Systems Engineer with 6.7 yrs experience at Zoho; relevant skills: LoRA, Elasticsearch, OpenSearch; Indore, Madhya Pradesh. Platform signals are strong: active 26d ago."
CAND_0079387,8,0.727373,"Ai Engineer with 6.9 yrs experience at Microsoft; relevant skills: Recommendation Systems, Sentence Transformers, Vector Search; Trivandrum, Kerala. Platform signals are strong: high response rate (81%); GitHub score 64."
CAND_0071974,9,0.725038,"Senior Ai Engineer with 7.8 yrs experience at Netflix; relevant skills: LoRA, Learning to Rank, Weaviate; Vizag, Andhra Pradesh. Platform signals are strong: high response rate (76%); GitHub score 83."
CAND_0041669,10,0.717559,"Recommendation Systems Engineer with 8 yrs experience at CRED; relevant skills: FAISS, Milvus, PEFT; Noida, Uttar Pradesh. Platform signals are strong: high response rate (77%); GitHub score 71."
CAND_0062247,11,0.705695,"7.3 yrs total; currently Ai Engineer at Google (Kochi, Kerala); relevant skills include Pinecone, Vector Search, Qdrant. Behavioral signals: high response rate (78%)."
CAND_0099806,12,0.683031,"4.6 yrs total; currently Ai Engineer at Mad Street Den (Bhubaneswar, Odisha); relevant skills include LoRA, RAG, FAISS. Behavioral signals: high response rate (76%); GitHub score 87."
CAND_0051004,13,0.678655,"4.7 yrs total; currently Senior Data Scientist at CRED (Delhi, Delhi); relevant skills include Embeddings, Semantic Search, Qdrant. Behavioral signals: immediate availability."
CAND_0014440,14,0.678445,"6.4 yrs total; currently Recommendation Systems Engineer at CRED (Chennai, Tamil Nadu); relevant skills include Elasticsearch, Milvus, FAISS. Behavioral signals: active 30d ago; GitHub score 90."
CAND_0095619,15,0.676253,"15.6 yrs total; currently Nlp Engineer at Nykaa (Mumbai, Maharashtra); relevant skills include Pinecone, Learning to Rank, Weaviate. Behavioral signals: high response rate (90%)."
CAND_0037566,16,0.674143,"6.9 yrs total; currently Machine Learning Engineer at LinkedIn (Bangalore, Karnataka); relevant skills include Pinecone, LoRA, QLoRA. Behavioral signals: immediate availability; GitHub score 73."
CAND_0036184,17,0.664430,"6 yrs total; currently Recommendation Systems Engineer at CRED (Trivandrum, Kerala); relevant skills include QLoRA, FAISS, MLOps. Behavioral signals: active 14d ago; high response rate (90%)."
CAND_0076163,18,0.655737,"6.9 yrs total; currently Nlp Engineer at Ola (Chandigarh, Chandigarh); relevant skills include Weaviate, BM25, Semantic Search. Behavioral signals: active 30d ago; high response rate (84%)."
CAND_0093912,19,0.652350,"5.3 yrs total; currently Senior Data Scientist at Razorpay (Chandigarh, Chandigarh); relevant skills include Milvus, Embeddings, Recommendation Systems. Behavioral signals: active 29d ago; GitHub score 82."
CAND_0065195,20,0.644405,"5.1 yrs total; currently Search Engineer at CRED (Kolkata, West Bengal); relevant skills include QLoRA, Elasticsearch, Qdrant. Behavioral signals: active 16d ago; high response rate (80%)."
CAND_0027691,21,0.640959,"6.5 yrs total; currently Nlp Engineer at Haptik (Pune, Maharashtra); relevant skills include LoRA, PEFT, Recommendation Systems. Behavioral signals: immediate availability."
CAND_0068811,22,0.637216,"8 yrs total; currently Applied Ml Engineer at Freshworks (Pune, Maharashtra); relevant skills include Vector Search, Qdrant, Embeddings. Behavioral signals: active 19d ago."
CAND_0030468,23,0.630639,"5.4 yrs total; currently Senior Applied Scientist at Swiggy (Indore, Madhya Pradesh); relevant skills include Information Retrieval Systems, OpenSearch, Milvus. Behavioral signals: high response rate (78%)."
CAND_0010149,24,0.626546,"6.9 yrs total; currently Ml Engineer at Glance (Bangalore, Karnataka); relevant skills include Milvus, Vector Search, Learning to Rank. Behavioral signals: active 15d ago; high response rate (82%)."
CAND_0075574,25,0.625407,"5.7 yrs total; currently Machine Learning Engineer at Haptik (Bangalore, Karnataka); relevant skills include Weaviate, Recommendation Systems, OpenSearch. Behavioral signals: active 23d ago."
CAND_0052682,26,0.623074,"6.6 yrs total; currently Nlp Engineer at Aganitha (Vizag, Andhra Pradesh); relevant skills include QLoRA, Semantic Search, FAISS. Behavioral signals: high response rate (88%); GitHub score 72."
CAND_0054100,27,0.617285,"6 yrs total; currently Junior Ml Engineer at Zoho (Kolkata, West Bengal); relevant skills include Vector Search, Semantic Search, QLoRA. Behavioral signals: active 15d ago; high response rate (79%)."
CAND_0043860,28,0.613581,"6.1 yrs total; currently Junior Ml Engineer at Aganitha (Bhubaneswar, Odisha); relevant skills include Semantic Search, Information Retrieval, Qdrant. Behavioral signals: active 14d ago; high response rate (81%)."
CAND_0005649,29,0.608031,"7.4 yrs total; currently Senior Data Scientist at Sarvam AI (Delhi, Delhi); relevant skills include Fine-tuning LLMs, Recommendation Systems, QLoRA. Behavioral signals: GitHub score 81."
CAND_0050876,30,0.605045,"6 yrs total; currently Applied Ml Engineer at Freshworks (Kolkata, West Bengal); relevant skills include Qdrant, MLOps, FAISS. Behavioral signals: active 14d ago; GitHub score 86."
CAND_0052328,31,0.604101,"Recommendation Systems Engineer (6.5 yrs, Pune, Maharashtra); has LoRA, OpenSearch, QLoRA but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0004402,32,0.602866,"Ai Research Engineer (6 yrs, Delhi, Delhi); has OpenSearch, PEFT, Learning to Rank but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0044222,33,0.589397,"Ai Engineer (7.7 yrs, Vizag, Andhra Pradesh); has Vector Search, OpenSearch, Qdrant but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0066999,34,0.581132,"Recommendation Systems Engineer (5.9 yrs, Delhi, Delhi); has OpenSearch, FAISS, Pinecone but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0010257,35,0.580459,"Senior Data Scientist (6.5 yrs, Noida, Uttar Pradesh); has Milvus, OpenSearch, Qdrant but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0030784,36,0.578592,"Data Scientist (4.4 yrs, Delhi, Delhi); has Embeddings, Learning to Rank, RAG but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0074225,37,0.577738,"Machine Learning Engineer (4.3 yrs, Vizag, Andhra Pradesh); has Recommendation Systems, Semantic Search, Elasticsearch but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0016163,38,0.577536,"Applied Ml Engineer (6.7 yrs, Gurgaon, Haryana); has Weaviate, Embeddings, LoRA but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0011162,39,0.573777,"Recommendation Systems Engineer (5.8 yrs, Coimbatore, Tamil Nadu); has FAISS, Vector Search, LoRA but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0020708,40,0.571019,"Search Engineer (4.2 yrs, Indore, Madhya Pradesh); has Learning to Rank, Elasticsearch, Fine-tuning LLMs but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0067866,41,0.570178,"Senior Software Engineer (Ml) (6.4 yrs, Noida, Uttar Pradesh); has Embeddings, Elasticsearch, LoRA but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0096142,42,0.565948,"Applied Ml Engineer (5 yrs, Hyderabad, Telangana); has LoRA, Weaviate, Pinecone but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0039383,43,0.562337,"Applied Ml Engineer (7.1 yrs, Gurgaon, Haryana); has FAISS, Recommendation Systems, QLoRA but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0054318,44,0.561267,"Ai Research Engineer (3.5 yrs, Chandigarh, Chandigarh); has Semantic Search, Information Retrieval, FAISS but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0016659,45,0.559683,"Ml Engineer (4.4 yrs, Coimbatore, Tamil Nadu); has Sentence Transformers, Pinecone, PEFT but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0076831,46,0.559481,"Search Engineer (4 yrs, Delhi, Delhi); has MLOps, Milvus, BM25 but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0028422,47,0.558844,"Junior Ml Engineer (5.5 yrs, Chennai, Tamil Nadu); has Pinecone, OpenSearch, Vector Search but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0081852,48,0.553516,"Senior Data Scientist (5.9 yrs, Delhi, Delhi); has Semantic Search, Milvus, Weaviate but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0017960,49,0.553384,"Recommendation Systems Engineer (7.7 yrs, Bangalore, Karnataka); has QLoRA, Qdrant, PEFT but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0058688,50,0.547798,"Ai Engineer (6.7 yrs, Berlin (open to relocate)); has Embeddings, Information Retrieval, Milvus but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0066690,51,0.540337,"Ml Engineer (4.8 yrs, Gurgaon, Haryana); has Sentence Transformers, Semantic Search, PEFT but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0015057,52,0.539521,"Ml Engineer (4.6 yrs, Pune, Maharashtra); has Sentence Transformers, Vector Search, Embeddings but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0006418,53,0.538516,"Machine Learning Engineer (5.7 yrs, Gurgaon, Haryana); has Semantic Search, Embeddings, Weaviate but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0018549,54,0.533456,"Recommendation Systems Engineer (6.8 yrs, Coimbatore, Tamil Nadu); has Weaviate, Elasticsearch, Qdrant but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0077285,55,0.531223,"Recommendation Systems Engineer (5.5 yrs, Ahmedabad, Gujarat); has LoRA, Pinecone, Sentence Transformers but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0079064,56,0.530098,"Senior Data Scientist (5.2 yrs, Noida, Uttar Pradesh); has OpenSearch, Semantic Search, Fine-tuning LLMs but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0065786,57,0.528629,"Ai Specialist (4.9 yrs, Indore, Madhya Pradesh); has LoRA, Learning to Rank, Semantic Search but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0046353,58,0.528549,"Ml Engineer (6.4 yrs, Gurgaon, Haryana); has FAISS, Qdrant, BM25 but career history is only partially aligned to search/ranking systems. Additional concern: long notice period (120 days)."
CAND_0063736,59,0.528445,"Data Scientist (3.7 yrs, Vizag, Andhra Pradesh); has Learning to Rank, Embeddings, Milvus but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0090155,60,0.527429,"Ml Engineer (5.8 yrs, Pune, Maharashtra); has Milvus, Qdrant, Pinecone but career history is only partially aligned to search/ranking systems. Included as a marginal match given partial technical overlap."
CAND_0095528,61,0.526445,"Borderline candidate: Senior Data Scientist (5.3 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0069905,62,0.524710,"Borderline candidate: Applied Ml Engineer (6.6 yrs, Bhubaneswar, Odisha); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007412,63,0.521507,"Borderline candidate: Applied Ml Engineer (7.4 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0081053,64,0.519244,"Borderline candidate: Nlp Engineer (5.4 yrs, Chandigarh, Chandigarh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0072688,65,0.515652,"Borderline candidate: Data Scientist (6.9 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0045475,66,0.514858,"Borderline candidate: Ml Engineer (4.9 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0064904,67,0.513887,"Borderline candidate: Ai Engineer (4.9 yrs, Hyderabad, Telangana); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0025640,68,0.512574,"Borderline candidate: Ai Research Engineer (5.6 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0051292,69,0.511984,"Borderline candidate: Applied Ml Engineer (5.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0010770,70,0.509823,"Borderline candidate: Recommendation Systems Engineer (15.2 yrs, Kolkata, West Bengal); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0029367,71,0.508398,"Borderline candidate: Senior Data Scientist (5.7 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0074735,72,0.507808,"Borderline candidate: Applied Ml Engineer (5.5 yrs, Chandigarh, Chandigarh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0048558,73,0.507605,"Borderline candidate: Data Scientist (6.7 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0061257,74,0.505858,"Borderline candidate: Staff Machine Learning Engineer (8 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: limited core skill match."
CAND_0039838,75,0.504740,"Borderline candidate: Recommendation Systems Engineer (4.9 yrs, Kochi, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0099675,76,0.503513,"Borderline candidate: Junior Ml Engineer (3.9 yrs, Kochi, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0028793,77,0.502269,"Borderline candidate: Search Engineer (7.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0055905,78,0.501204,"Borderline candidate: Senior Machine Learning Engineer (8.1 yrs, London, UK); limited direct match to the Senior AI Engineer requirements. Key gaps: based in UK, relocation unknown."
CAND_0084819,79,0.500433,"Borderline candidate: Search Engineer (4.5 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0013536,80,0.499844,"Borderline candidate: Applied Ml Engineer (14.1 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0098454,81,0.498940,"Borderline candidate: Ai Specialist (6.6 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0098780,82,0.498861,"Borderline candidate: Ai Research Engineer (5.9 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0005538,83,0.497692,"Borderline candidate: Senior Ai Engineer (5.9 yrs, Kolkata, West Bengal); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0054546,84,0.496380,"Borderline candidate: Ai Research Engineer (4.9 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007596,85,0.495904,"Borderline candidate: Junior Ml Engineer (4.4 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0082086,86,0.495198,"Borderline candidate: Senior Software Engineer (Ml) (6 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0061655,87,0.494986,"Borderline candidate: Machine Learning Engineer (4.6 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0083879,88,0.494840,"Borderline candidate: Machine Learning Engineer (7.1 yrs, Noida, Uttar Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0075249,89,0.494672,"Borderline candidate: Applied Ml Engineer (6.2 yrs, Ahmedabad, Gujarat); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0018701,90,0.490991,"Borderline candidate: Junior Ml Engineer (6 yrs, Delhi, Delhi); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0017918,91,0.488271,"Borderline candidate: Ml Engineer (3.2 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0062658,92,0.488086,"Borderline candidate: Junior Ml Engineer (4.2 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0010603,93,0.487453,"Borderline candidate: Ml Engineer (5.3 yrs, Bangalore, Karnataka); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0043381,94,0.487018,"Borderline candidate: Ai Research Engineer (3.6 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0008239,95,0.483149,"Borderline candidate: Ai Engineer (4 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0009024,96,0.482932,"Borderline candidate: Search Engineer (5.2 yrs, Chennai, Tamil Nadu); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0007460,97,0.482878,"Borderline candidate: Ai Engineer (4.7 yrs, Pune, Maharashtra); limited direct match to the Senior AI Engineer requirements. Key gaps: long notice period (120 days)."
CAND_0098846,98,0.482209,"Borderline candidate: Ai Engineer (7.6 yrs, Indore, Madhya Pradesh); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0037944,99,0.474515,"Borderline candidate: Senior Data Scientist (4.9 yrs, Jaipur, Rajasthan); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
CAND_0001610,100,0.473738,"Borderline candidate: Machine Learning Engineer (3 yrs, Trivandrum, Kerala); limited direct match to the Senior AI Engineer requirements. Ranked here due to adjacent technical background; skill and career scores are both below the main cohort."
